"","Fecha","Open","Close","Sentimiento_Positivo","Neutro+Negativo"
"349",2015-10-23,215,209.089996,"0",1
"351",2015-10-27,214.839996,210.350006,"1",1
"353",2015-10-29,211.75,211.630005,"0",2
"354",2015-10-30,210.399994,206.929993,"0",1
"356",2015-11-03,213.850006,208.350006,NA,NA
"360",2015-11-09,232.990005,225.330002,NA,NA
"361",2015-11-10,223.479996,216.5,NA,NA
"363",2015-11-12,217.850006,212.940002,"0",2
"364",2015-11-13,212.949997,207.190002,NA,NA
"366",2015-11-17,215.199997,214,"0",1
"369",2015-11-20,223.490005,220.009995,"1",1
"374",2015-11-30,231.789993,230.259995,NA,NA
"376",2015-12-02,237,231.990005,"0",1
"377",2015-12-03,235.479996,232.710007,"0",2
"378",2015-12-04,232.460007,230.380005,"1",2
"380",2015-12-08,227.520004,226.720001,"0",1
"381",2015-12-09,226.699997,224.520004,"2",1
"383",2015-12-11,225.240005,217.020004,"0",2
"385",2015-12-15,221.820007,221.089996,"0",1
"387",2015-12-17,233.940002,233.389999,"0",3
"388",2015-12-18,232.889999,230.460007,"1",3
"390",2015-12-22,234.990005,229.949997,"0",1
"391",2015-12-23,232.179993,229.699997,"0",3
"393",2015-12-28,231.490005,228.949997,"0",1
"397",2016-01-04,230.720001,223.410004,"0",1
"398",2016-01-05,226.360001,223.429993,"0",1
"399",2016-01-06,220,219.039993,NA,NA
"401",2016-01-08,217.860001,211,NA,NA
"402",2016-01-11,214.009995,207.850006,"0",1
"403",2016-01-12,211.600006,209.970001,NA,NA
"404",2016-01-13,212.009995,200.309998,"0",1
"407",2016-01-19,208.710007,204.720001,"0",1
"408",2016-01-20,199.399994,198.699997,"0",1
"409",2016-01-21,201.550003,199.970001,"0",1
"410",2016-01-22,204.800003,202.550003,"0",2
"411",2016-01-25,200.059998,196.380005,NA,NA
"412",2016-01-26,196.699997,193.559998,"0",2
"413",2016-01-27,192.380005,188.070007,"0",1
"414",2016-01-28,190.789993,189.699997,"0",1
"417",2016-02-02,192.419998,182.779999,"0",1
"418",2016-02-03,183.589996,173.479996,"0",1
"420",2016-02-05,171.300003,162.600006,"0",1
"421",2016-02-08,157.100006,147.990005,"0",1
"423",2016-02-10,150.5,143.669998,"0",1
"424",2016-02-11,152,150.470001,NA,NA
"425",2016-02-12,155,151.039993,"0",1
"426",2016-02-16,158.699997,155.169998,"0",4
"428",2016-02-18,172.419998,166.770004,"0",2
"435",2016-02-29,192.399994,191.929993,"0",3
"436",2016-03-01,194.25,186.350006,"1",1
"441",2016-03-08,203.5,202.600006,"1",1
"443",2016-03-10,210,205.179993,"0",3
"444",2016-03-11,207.929993,207.5,NA,NA
"451",2016-03-22,237.210007,234.240005,"0",4
"452",2016-03-23,232.369995,222.580002,"0",4
"454",2016-03-28,231.610001,230.259995,NA,NA
"456",2016-03-30,235.089996,226.889999,"1",2
"458",2016-04-01,244.830002,237.589996,"0",11
"459",2016-04-04,249.119995,246.990005,NA,NA
"462",2016-04-07,266.450012,257.200012,"0",2
"463",2016-04-08,260.5,250.070007,"1",2
"464",2016-04-11,251,249.919998,"0",1
"465",2016-04-12,249.5,247.820007,"0",3
"467",2016-04-14,253,251.860001,"1",0
"470",2016-04-19,253.119995,247.369995,"0",1
"472",2016-04-21,248.990005,248.289993,"0",2
"474",2016-04-25,253.009995,251.820007,"0",2
"476",2016-04-27,252.75,251.470001,"1",2
"477",2016-04-28,249.850006,247.710007,"0",2
"478",2016-04-29,248.139999,240.759995,"0",1
"480",2016-05-03,237.360001,232.320007,"0",2
"481",2016-05-04,230.289993,222.559998,NA,NA
"482",2016-05-05,228.460007,211.529999,"0",1
"484",2016-05-09,215.720001,208.919998,"0",1
"487",2016-05-12,211.440002,207.279999,"0",1
"488",2016-05-13,207.779999,207.610001,"0",1
"490",2016-05-17,209.050003,204.660004,"0",1
"494",2016-05-23,219.869995,216.220001,"0",1
"498",2016-05-27,224.990005,223.039993,"1",0
"500",2016-06-01,221.479996,219.559998,"0",2
"501",2016-06-02,219.589996,218.960007,"0",1
"502",2016-06-03,220,218.990005,"0",1
"506",2016-06-09,234.979996,229.360001,"0",3
"507",2016-06-10,227.389999,218.789993,"0",3
"508",2016-06-13,219.5,217.869995,"0",1
"509",2016-06-14,218.880005,214.960007,"0",4
"512",2016-06-17,217.809998,215.470001,NA,NA
"514",2016-06-21,220.679993,219.610001,"0",2
"515",2016-06-22,199.470001,196.660004,NA,NA
"519",2016-06-28,201.889999,201.789993,NA,NA
"521",2016-06-30,212.970001,212.279999,"0",2
"526",2016-07-08,217.800003,216.779999,NA,NA
"529",2016-07-13,225.5,222.529999,NA,NA
"530",2016-07-14,223.119995,221.529999,NA,NA
"531",2016-07-15,222.520004,220.399994,"0",2
"535",2016-07-21,226,220.5,"0",1
"539",2016-07-27,229.339996,228.490005,"0",1
"542",2016-08-01,235.5,230.009995,"0",1
"543",2016-08-02,229.369995,227.199997,NA,NA
"544",2016-08-03,227.369995,225.789993,"0",2
"547",2016-08-08,228,226.160004,NA,NA
"549",2016-08-10,228.240005,225.649994,"0",1
"550",2016-08-11,226.169998,224.910004,NA,NA
"552",2016-08-15,226.020004,225.589996,NA,NA
"553",2016-08-16,225.490005,223.610001,"0",1
"554",2016-08-17,224.330002,223.240005,"0",1
"555",2016-08-18,223.820007,223.509995,NA,NA
"557",2016-08-22,224.169998,222.929993,"1",0
"559",2016-08-24,227.050003,222.619995,"1",1
"560",2016-08-25,223.110001,220.960007,NA,NA
"561",2016-08-26,222.139999,219.990005,"1",0
"562",2016-08-29,220.149994,215.199997,"0",1
"563",2016-08-30,216.110001,211.339996,NA,NA
"565",2016-09-01,209.009995,200.770004,NA,NA
"566",2016-09-02,202.330002,197.779999,NA,NA
"568",2016-09-07,205.5,201.710007,NA,NA
"569",2016-09-08,199.550003,197.360001,NA,NA
"570",2016-09-09,199.089996,194.470001,NA,NA
"572",2016-09-13,197.059998,196.050003,"0",1
"576",2016-09-19,207,206.339996,NA,NA
"577",2016-09-20,206.850006,204.639999,"1",0
"578",2016-09-21,206.369995,205.220001,NA,NA
"582",2016-09-27,209.649994,205.809998,NA,NA
"583",2016-09-28,207.509995,206.270004,"0",2
"584",2016-09-29,205.600006,200.699997,NA,NA
"587",2016-10-04,213.100006,211.410004,NA,NA
"588",2016-10-05,212.240005,208.460007,"1",1
"589",2016-10-06,202.460007,201,NA,NA
"590",2016-10-07,201,196.610001,"0",1
"591",2016-10-10,201.350006,200.949997,NA,NA
"592",2016-10-11,201.850006,200.100006,"0",1
"594",2016-10-13,200.5,200.240005,"0",2
"595",2016-10-14,200.660004,196.509995,"0",1
"596",2016-10-17,197.050003,193.960007,"1",1
"599",2016-10-20,202.119995,199.100006,"0",2
"602",2016-10-25,202.899994,202.339996,"0",1
"604",2016-10-27,211.339996,204.009995,"0",2
"605",2016-10-28,204,199.970001,"0",1
"606",2016-10-31,202.490005,197.729996,"0",1
"607",2016-11-01,198.039993,190.789993,"1",2
"608",2016-11-02,190.050003,188.020004,NA,NA
"609",2016-11-03,189,187.419998,"0",1
"611",2016-11-07,193.589996,193.210007,"0",2
"614",2016-11-10,191.050003,185.350006,"1",3
"616",2016-11-14,188,181.449997,"0",1
"620",2016-11-18,190.649994,185.020004,"0",3
"621",2016-11-21,185.039993,184.520004,NA,NA
"626",2016-11-29,195.559998,189.570007,NA,NA
"627",2016-11-30,191,189.399994,NA,NA
"628",2016-12-01,188.25,181.880005,"0",1
"629",2016-12-02,182.880005,181.470001,"0",1
"635",2016-12-12,192.800003,192.429993,NA,NA
"637",2016-12-14,198.740005,198.690002,"0",1
"638",2016-12-15,198.410004,197.580002,NA,NA
"642",2016-12-21,208.449997,207.699997,NA,NA
"646",2016-12-28,221.529999,219.740005,NA,NA
"647",2016-12-29,218.559998,214.679993,"0",1
"648",2016-12-30,216.300003,213.690002,"1",1
"654",2017-01-10,232,229.869995,"0",1
"658",2017-01-17,236.699997,235.580002,NA,NA
"660",2017-01-19,247.25,243.759995,"1",4
"661",2017-01-20,245.460007,244.729996,NA,NA
"664",2017-01-25,257.309998,254.470001,NA,NA
"665",2017-01-26,254.289993,252.509995,NA,NA
"667",2017-01-30,252.529999,250.630005,"0",1
"669",2017-02-01,253.050003,249.240005,NA,NA
"671",2017-02-03,251.910004,251.330002,"0",2
"673",2017-02-07,258.190002,257.480011,"0",1
"676",2017-02-10,269.790009,269.230011,NA,NA
"679",2017-02-15,280,279.76001,NA,NA
"680",2017-02-16,277.600006,268.950012,NA,NA
"683",2017-02-22,280.309998,273.51001,NA,NA
"684",2017-02-23,264,255.990005,NA,NA
"686",2017-02-27,248.169998,246.229996,NA,NA
"688",2017-03-01,254.179993,250.020004,NA,NA
"692",2017-03-07,251.919998,248.589996,NA,NA
"693",2017-03-08,247,246.869995,"0",1
"694",2017-03-09,247.630005,244.899994,NA,NA
"695",2017-03-10,246.210007,243.690002,NA,NA
"698",2017-03-15,257,255.729996,NA,NA
"699",2017-03-16,262.399994,262.049988,NA,NA
"700",2017-03-17,264,261.5,NA,NA
"702",2017-03-21,262.829987,250.679993,NA,NA
"704",2017-03-23,255.389999,254.779999,NA,NA
"708",2017-03-29,278.339996,277.380005,NA,NA
"709",2017-03-30,278.040009,277.920013,NA,NA
"710",2017-03-31,278.730011,278.299988,NA,NA
"713",2017-04-05,302.040009,295,NA,NA
"717",2017-04-11,313.380005,308.709991,NA,NA
"718",2017-04-12,306.339996,296.839996,NA,NA
"720",2017-04-17,302.700012,301.440002,NA,NA
"723",2017-04-20,306.51001,302.51001,"0",1
"725",2017-04-24,309.220001,308.029999,"0",1
"727",2017-04-26,312.369995,310.170013,NA,NA
"728",2017-04-27,311.690002,308.630005,NA,NA
"731",2017-05-02,324,318.890015,NA,NA
"732",2017-05-03,317.670013,311.019989,NA,NA
"733",2017-05-04,307.440002,295.459991,"0",1
"735",2017-05-08,310.899994,307.190002,NA,NA
"738",2017-05-11,323.399994,323.100006,NA,NA
"739",2017-05-12,325.480011,324.809998,NA,NA
"740",2017-05-15,318.380005,315.880005,NA,NA
"741",2017-05-16,317.589996,317.01001,NA,NA
"742",2017-05-17,314.390015,306.109985,NA,NA
"744",2017-05-19,315.5,310.829987,"0",1
"745",2017-05-22,312.799988,310.350006,"1",1
"746",2017-05-23,310.459991,303.859985,NA,NA
"752",2017-06-01,344,340.369995,NA,NA
"758",2017-06-09,374.420013,357.320007,NA,NA
"761",2017-06-14,381.089996,380.660004,NA,NA
"763",2017-06-16,377.980011,371.399994,NA,NA
"764",2017-06-19,375,369.799988,NA,NA
"765",2017-06-20,376.670013,372.23999,NA,NA
"769",2017-06-26,386.690002,377.48999,NA,NA
"770",2017-06-27,376.399994,362.369995,NA,NA
"772",2017-06-29,370.609985,360.75,"0",1
"773",2017-06-30,363.709991,361.609985,"1",3
"774",2017-07-03,370.23999,352.619995,"0",4
"775",2017-07-05,347.200012,327.089996,NA,NA
"776",2017-07-06,317.26001,308.829987,NA,NA
"777",2017-07-07,313.5,313.220001,"0",1
"780",2017-07-12,330.399994,329.519989,NA,NA
"781",2017-07-13,330.109985,323.410004,NA,NA
"783",2017-07-17,325.540009,319.570007,"0",1
"785",2017-07-19,328.230011,325.26001,NA,NA
"787",2017-07-21,329.459991,328.399994,NA,NA
"789",2017-07-25,345,339.600006,NA,NA
"791",2017-07-27,346,334.459991,"0",1
"792",2017-07-28,336.890015,335.070007,NA,NA
"793",2017-07-31,335.5,323.470001,NA,NA
"794",2017-08-01,323,319.570007,NA,NA
"798",2017-08-07,357.350006,355.170013,NA,NA
"801",2017-08-10,361.600006,355.399994,NA,NA
"803",2017-08-14,364.630005,363.799988,"0",1
"804",2017-08-15,365.200012,362.329987,NA,NA
"805",2017-08-16,363,362.910004,NA,NA
"806",2017-08-17,361.209991,351.920013,NA,NA
"807",2017-08-18,352.910004,347.459991,NA,NA
"808",2017-08-21,345.820007,337.859985,"0",2
"812",2017-08-25,354.23999,348.049988,"0",1
"813",2017-08-28,347.279999,345.660004,NA,NA
"817",2017-09-01,356.119995,355.399994,NA,NA
"818",2017-09-05,353.799988,349.589996,NA,NA
"819",2017-09-06,349.5,344.529999,NA,NA
"821",2017-09-08,348.98999,343.399994,NA,NA
"823",2017-09-12,364.48999,362.75,NA,NA
"828",2017-09-19,380,375.100006,NA,NA
"830",2017-09-21,374.899994,366.480011,"0",1
"831",2017-09-22,366.48999,351.089996,"0",1
"832",2017-09-25,353.149994,344.98999,NA,NA
"833",2017-09-26,350.929993,345.25,NA,NA
"834",2017-09-27,349.899994,340.970001,NA,NA
"835",2017-09-28,339.880005,339.600006,NA,NA
"836",2017-09-29,341.859985,341.100006,"0",1
"837",2017-10-02,342.519989,341.529999,NA,NA
"840",2017-10-05,356,355.329987,NA,NA
"842",2017-10-09,349.649994,342.940002,NA,NA
"846",2017-10-13,356.980011,355.570007,NA,NA
"847",2017-10-16,353.76001,350.600006,NA,NA
"850",2017-10-19,355.559998,351.809998,"0",1
"851",2017-10-20,352.690002,345.100006,NA,NA
"852",2017-10-23,349.880005,337.019989,NA,NA
"853",2017-10-24,338.799988,337.339996,"0",1
"854",2017-10-25,336.700012,325.839996,NA,NA
"855",2017-10-26,327.779999,326.170013,"0",1
"859",2017-11-01,332.25,321.079987,NA,NA
"860",2017-11-02,300.130005,299.26001,"0",2
"862",2017-11-06,307,302.779999,NA,NA
"864",2017-11-08,305.5,304.390015,NA,NA
"868",2017-11-14,315,308.700012,"0",1
"870",2017-11-16,313.98999,312.5,NA,NA
"871",2017-11-17,325.670013,315.049988,"2",14
"872",2017-11-20,313.790009,308.73999,NA,NA
"874",2017-11-22,316.769989,312.600006,NA,NA
"878",2017-11-29,317.299988,307.540009,NA,NA
"881",2017-12-04,306.5,305.200012,NA,NA
"884",2017-12-07,312,311.23999,NA,NA
"888",2017-12-13,340.929993,339.029999,NA,NA
"889",2017-12-14,341.01001,337.890015,"0",1
"891",2017-12-18,344.899994,338.869995,NA,NA
"892",2017-12-19,340.26001,331.100006,"0",1
"893",2017-12-20,332.690002,328.980011,NA,NA
"895",2017-12-22,329.51001,325.200012,"0",1
"896",2017-12-26,323.829987,317.290009,"0",1
"897",2017-12-27,316,311.640015,NA,NA
"899",2017-12-29,316.179993,311.350006,NA,NA
"901",2018-01-03,321,317.25,"0",2
